Size,PhaseName,MetricName,Sequence,MetricValue,Scenario,CaseName,RunIndex,Tool,Iteration
1,ReCheck,Time,26,8815203,User,ConnectedSegments,1,MySQL,8
1,LHS,Time,27,1954968,User,ConnectedSegments,1,MySQL,9
1,RHS,Time,28,22750932,User,ConnectedSegments,1,MySQL,9
1,ReCheck,Time,29,7680500,User,ConnectedSegments,1,MySQL,9
1,LHS,Time,30,1969435,User,ConnectedSegments,1,MySQL,10
1,RHS,Time,31,28036255,User,ConnectedSegments,1,MySQL,10
1,ReCheck,Time,32,11122422,User,ConnectedSegments,1,MySQL,10
2,Read,Time,1,1428281706,Batch,PosLength,1,MySQL,1
2,Check,Time,2,10712022,Batch,PosLength,1,MySQL,1
1,Read,Time,1,5277718831,Repair,ConnectedSegments,1,Neo4j,1
1,Check,Time,2,3718207012,Repair,ConnectedSegments,1,Neo4j,1
1,LHS,Time,3,57435,Repair,ConnectedSegments,1,Neo4j,1
1,RHS,Time,4,58428537,Repair,ConnectedSegments,1,Neo4j,1
1,ReCheck,Time,5,2540578631,Repair,ConnectedSegments,1,Neo4j,1
2,Read,Time,1,1700834504,User,ConnectedSegments,1,Java,1
2,Check,Time,2,78210089,User,ConnectedSegments,1,Java,1
2,LHS,Time,3,15750467,User,ConnectedSegments,1,Java,1
2,RHS,Time,4,3273656,User,ConnectedSegments,1,Java,1
